URL,Count
"/check-uk-visa/y/chile/tourism",146
"/check-uk-visa/y/gabon",9
"/check-uk-visa/y/oman/tourism",151
"/check-uk-visa/y/philippines/work/six_months_or_less",270
"/check-uk-visa/y/qatar/tourism",149
"/check-uk-visa/y/rwanda",27
"/check-uk-visa/y/turkmenistan/study/longer_than_six_months",2
"/check-uk-visa/y/philippines/tourism",1413
"/check-uk-visa/y/democratic-republic-of-congo/family",9
"/check-uk-visa/y/peru/family",19
"/check-uk-visa/y/zambia/school",3
"/check-uk-visa/y/uganda/study/longer_than_six_months",15
"/print/check-uk-visa/y/colombia/transit/no",1
"/check-uk-visa/y/sri-lanka/transit/no",27
"/check-uk-visa/y/usa/marriage",282
"/check-uk-visa/y/syria/school",2
"/check-uk-visa/y/british-national-overseas/work/longer_than_six_months",22
"/check-uk-visa/y/syria/study",14
"/check-uk-visa/y/usa/work",627
"/check-uk-visa/y/kazakhstan/school",3
"/check-uk-visa/y/saudi-arabia/work",111
"/check-uk-visa/y/hong-kong/work/six_months_or_less",47
"/check-uk-visa/y/bhutan/study/six_months_or_less",2
"/check-uk-visa/y/burundi",9
"/check-uk-visa/y/eritrea/study/longer_than_six_months",2
"/check-uk-visa/y/morocco/study",24
"/check-uk-visa/y/maldives/study/longer_than_six_months",4
"/check-uk-visa/y/south-korea/work/longer_than_six_months",105
"/check-uk-visa/y/chile/marriage",5
"/check-uk-visa/y/morocco/marriage",26
"/check-uk-visa/y/albania/school",2
"/check-uk-visa/y/burma/school",1
"/check-uk-visa/y/maldives",2
"/check-uk-visa/y/angola/school",3
"/check-uk-visa/y/turkey/transi",1
"/check-uk-visa/y/san-marino/work/longer_than_six_months",1
"/check-uk-visa/y/uganda/transit/yes",4
"/check-uk-visa/y/india/school",43
"/check-uk-visa/y/kuwait/tourism",360
"/check-uk-visa/y/south-africa/school",3
"/check-uk-visa/y/serbia/work/six_months_or_less",100
"/check-uk-visa/y/antigua-and-barbuda/work",2
"/check-uk-visa/y/sudan/work/longer_than_six_months",13
"/check-uk-visa/y/nigeria/school",35
"/check-uk-visa/y/malaysia/tourism",239
"/check-uk-visa/y/libya/family",9
"/check-uk-visa/y/kenya/study/longer_than_six_months",35
"/check-uk-visa/y/sri-lanka/work/six_months_or_less",52
"/check-uk-visa/y/burundi/transit/no",2
"/check-uk-visa/y/south-sudan/work",4
"/check-uk-visa/y/burma/family",5
"/check-uk-visa/y/belarus/transit/yes",5
"/check-uk-visa/y/vietnam/transit/yes",7
"/check-uk-visa/y/turkey/school",18
"/check-uk-visa/y/tunisia/transit",3
"/check-uk-visa/y/malawi/transit",1
"/check-uk-visa/y/fiji/study/six_months_or_less",1
"/check-uk-visa/y/gabon/transit/yes",1
"/check-uk-visa/y/qatar/work",17
"/check-uk-visa/y/japan",344
"/check-uk-visa/y/barbados/study/longer_than_six_months",6
"/check-uk-visa/y/syria",159
"/check-uk-visa/y/british-dependent-territories-citizen/work",5
"/check-uk-visa/y/singapore/work/longer_than_six_months",37
"/check-uk-visa/y/bahrain/work/longer_than_six_months",4
"/check-uk-visa/y/georgia",34
"/check-uk-visa/china/transit/no",1
"/check-uk-visa/y/cape-verde",22
"/check-uk-visa/y/tunisia/family",46
"/check-uk-visa/y/eritrea/study",1
"/check-uk-visa/y/british-overseas-citizen/work",16
"/check-uk-visa/y/north-korea/study",1
"/check-uk-visa/y/guyana/study/six_months_or_less",2
"/check-uk-visa/y/indonesia/transit",21
"/check-uk-visa/y/malaysia/work/longer_than_six_months",61
"/check-uk-visa/y/zambia/work",8
"/check-uk-visa/y/ecuador",96
"/check-uk-visa/y/thailand/medical",1
"/check-uk-visa/y/cote-d-ivoire/work/longer_than_six_months",4
"/print/check-uk-visa/y/usa/study/six_months_or_less",1
"/check-uk-visa/y/haiti/work/longer_than_six_months",2
"/check-uk-visa/y/malaysia/study",67
"/check-uk-visa/y/armenia/work/longer_than_six_months",4
"/check-uk-visa/y/anguilla/work",3
"/check-uk-visa/y/mexico/study/longer_than_six_months",56
"/check-uk-visa/y/antigua-and-barbuda/study/longer_than_six_months",1
"/check-uk-visa/y/nepal/work/six_months_or_less",16
"/check-uk-visa/y/jordan/medical",1
"/check-uk-visa/y/afghanistan/transit/yes",9
"/check-uk-visa/y/venezuela/school",9
"/check-uk-visa/y/zimbabwe/transit/no",8
"/check-uk-visa/y/botswana/work/six_months_or_less",1
"/check-uk-visa/y/china",8668
"/check-uk-visa/y/tajikistan/study/longer_than_six_months",2
"/check-uk-visa/y/japan/work",143
"/check-uk-visa/y/turkmenistan/study",6
"/check-uk-visa/y/marshall-islands",1
"/check-uk-visa/y/serbia/transit/yes",14
"/check-uk-visa/y/antigua-and-barbuda/marriage",2
"/check-uk-visa/y/turkey/transit",56
"/check-uk-visa/y/united-arab-emirates/transit/no",2
"/check-uk-visa/y/chile/study/longer_than_six_months",29
"/check-uk-visa/y/macao",18
"/check-uk-visa/y/vietnam/work/six_months_or_less",64
"/check-uk-visa/y/kyrgyzstan/work/longer_than_six_months",3
"/check-uk-visa/y/kuwait/study/six_months_or_less",11
"/check-uk-visa/y/russia/work",337
"/check-uk-visa/y/iraq/work",45
"/check-uk-visa/y/cape-verde/tourism",19
"/check-uk-visa/y/israel/transit",2
"/check-uk-visa/y/united-arab-emirates/family",5
"/check-uk-visa/y/belarus/transit",9
"/check-uk-visa/y/india/transit/no",874
"/check-uk-visa/y/chad/study/longer_than_six_months",1
"/check-uk-visa/y/seychelles/study",2
"/check-uk-visa/y/bahrain",211
"/check-uk-visa/y/belize/tourism",13
"/check-uk-visa/y/oman/work/longer_than_six_months",3
"/check-uk-visa/y/philippines/transit",72
"/check-uk-visa/y/fiji/marriage",1
"/check-uk-visa/y/turkey/study",96
"/check-uk-visa/y/nigeria/tourism",1855
"/check-uk-visa/y/guinea/work/six_months_or_less",3
"/check-uk-visa/contact-ukvi-outside-uk",1
"/check-uk-visa/y/comoros/study/six_months_or_less",3
"/check-uk-visa/y/iceland",12
"/check-uk-visa/y/uzbekistan/transit",5
"/check-uk-visa/y/trinidad-and-tobago/study/six_months_or_less",6
"/check-uk-visa/y/central-african-republic/study/longer_than_six_months",1
"/check-uk-visa/y/south-korea/tourism",69
"/check-uk-visa/y/serbia/tourism",179
"/check-uk-visa/y/hong-kong-(british-national-overseas)/work/six_months_or_less",8
"/check-uk-visa/y/jordan/study/longer_than_six_months",6
"/check-uk-visa/y/united-arab-emirates/work",24
"/check-uk-visa/y/the-occupied-palestinian-territories",18
"/check-uk-visa/y/syria/work",35
"/check-uk-visa/y/argentina/study/longer_than_six_months",20
"/check-uk-visa/y/syria/transit/no",70
"/check-uk-visa/y/north-korea/study/six_months_or_less",1
"/check-uk-visa/y/ghana/medical",2
"/check-uk-visa/y/san-marino",2
"/check-uk-visa/y/afghanistan/transit/no",10
"/check-uk-visa/y/qatar",146
"/check-uk-visa/y/chile/work/longer_than_six_months",20
"/check-uk-visa/y/cuba/study/six_months_or_less",1
"/check-uk-visa/y/guyana/study",1
"/check-uk-visa/y/philippines/work/longer_than_six_months",176
"/check-uk-visa/y/australia/transit",14
"/check-uk-visa/y/chad/work",1
"/check-uk-visa/y/congo",29
"/check-uk-visa/y/vietnam/family",11
"/check-uk-visa/y/libya/transit/no",3
"/check-uk-visa/y/venezuela/tourism...",1
"/check-uk-visa/y/kosovo/transit/no",1
"/check-uk-visa/y/dominican-republic/work/six_months_or_less",22
"/check-uk-visa/y/mongolia/tourism",19
"/check-uk-visa/y/bahamas/tourism",5
"/check-uk-visa/y/somalia",32
"/check-uk-visa/y/nauru",2
"/check-uk-visa/y/grenada/study/six_months_or_less",1
"/check-uk-visa/y/mauritania/work/longer_than_six_months",1
"/check-uk-visa/y/togo",16
"/check-uk-visa/y/sri-lanka/transit",18
"/check-uk-visa/y/malaysia",313
"/check-uk-visa/y/kenya/work",89
"/check-uk-visa/y/macedonia/transit",1
"/check-uk-visa/y/nicaragua/tourism",14
"/check-uk-visa/y/russia",1370
"/check-uk-visa/y/iraq/study/six_months_or_less",19
"/check-uk-visa/y/belize/marriage",1
"/check-uk-visa/y/madagascar/tourism",24
"/check-uk-visa/y/slovakia",22
"/check-uk-visa/y/china/tourism",6139
"/check-uk-visa/y/cuba/work/longer_than_six_months",7
"/check-uk-visa/y/philippines/work",296
"/check-uk-visa/y/bahrain/tourism",193
"/check-uk-visa/y/namibia/work/longer_than_six_months",2
"/check-uk-visa/y/china/study/longer_than_six_months",1107
"/print/check-uk-visa/y/usa/work/six_months_or_less",1
"/check-uk-visa/y/south-africa",2718
"/check-uk-visa/y/usa/study/longer_than_six_months",183
"/check-uk-visa/y/british-dependent-territories-citizen/tourism",6
"/check-uk-visa/y/russia/transit/no",31
"/check-uk-visa/y/taiwan/transit/no",1
"/check-uk-visa/y/uganda/work/longer_than_six_months",3
"/check-uk-visa/y/moldova/study",7
